year,車種,性別,數量
103,自用客車,男性,2762303
103,自用客車,女性,2984647
103,自用貨車,男性,393937
103,自用貨車,女性,121543
103,營業客車,男性,44805
103,營業客車,女性,1683
103,其他,男性,658
103,其他,女性,164
104,自用客車,男性,2832736
104,自用客車,女性,3068929
104,自用貨車,男性,399040
104,自用貨車,女性,123128
104,營業客車,男性,43965
104,營業客車,女性,1664
104,其他,男性,3608
104,其他,女性,1601
105,自用客車,男性,2865027
105,自用客車,女性,3124606
105,自用貨車,男性,402436
105,自用貨車,女性,123991
105,營業客車,男性,42912
105,營業客車,女性,1682
105,其他,男性,3575
105,其他,女性,1591
106,自用客車,男性,2894466
106,自用客車,女性,3181308
106,自用貨車,男性,405084
106,自用貨車,女性,124902
106,營業客車,男性,42504
106,營業客車,女性,1692
106,其他,男性,3637
106,其他,女性,1617
107,自用客車,男性,2921699
107,自用客車,女性,3226950
107,自用貨車,男性,408985
107,自用貨車,女性,126520
107,營業客車,男性,42062
107,營業客車,女性,1730
107,其他,男性,3725
107,其他,女性,1678
108,自用客車,男性,2947749
108,自用客車,女性,3270346
108,自用貨車,男性,411905
108,自用貨車,女性,127942
108,營業客車,男性,41189
108,營業客車,女性,1739
108,其他,男性,3811
108,其他,女性,1774
109,自用客車,男性,2971894
109,自用客車,女性,3313462
109,自用貨車,男性,412479
109,自用貨車,女性,129653
109,營業客車,男性,40127
109,營業客車,女性,1736
109,其他,男性,3874
109,其他,女性,1855
110,自用客車,男性,3020359
110,自用客車,女性,3374733
110,自用貨車,男性,414421
110,自用貨車,女性,131473
110,營業客車,男性,38767
110,營業客車,女性,1754
110,其他,男性,4077
110,其他,女性,2041
111,自用客車,男性,3062423
111,自用客車,女性,3425773
111,自用貨車,男性,416204
111,自用貨車,女性,133998
111,營業客車,男性,37268
111,營業客車,女性,1818
111,其他,男性,4189
111,其他,女性,2166
112,自用客車,男性,3105636
112,自用客車,女性,3478039
112,自用貨車,男性,416592
112,自用貨車,女性,135870
112,營業客車,男性,36453
112,營業客車,女性,1875
112,其他,男性,4492
112,其他,女性,2425
113,自用客車,男性,3138256
113,自用客車,女性,3515058
113,自用貨車,男性,414239
113,自用貨車,女性,136324
113,營業客車,男性,35738
113,營業客車,女性,1972
113,其他,男性,4697
113,其他,女性,2681
